payment_id,payment_date,payment_mode,payment_status,order_id
PAY_5188,2025-09-03,COD,Completed,ORD_3188
PAY_5189,2025-08-18,COD,Completed,ORD_3189
PAY_5190,2026-02-01,COD,Completed,ORD_3190
PAY_5191,2025-09-27,UPI,Completed,ORD_3191
PAY_5192,2025-11-02,Card,Completed,ORD_3192
PAY_5193,2026-01-23,Card,Pending,ORD_3193
PAY_5194,2025-06-19,UPI,Completed,ORD_3194
PAY_5195,2026-03-26,COD,Pending,ORD_3195
PAY_5196,2025-12-31,COD,Completed,ORD_3196
PAY_5197,2025-11-08,COD,Completed,ORD_3197
PAY_5198,2025-07-09,Card,Completed,ORD_3198
PAY_5199,2026-03-03,UPI,Completed,ORD_3199
PAY_5200,2025-03-31,Card,Completed,ORD_3200
PAY_5201,2025-08-17,Card,Completed,ORD_3201
PAY_5202,2025-06-21,Card,Failed,ORD_3202
PAY_5203,2025-09-07,UPI,Completed,ORD_3203
PAY_5204,2025-11-27,COD,Completed,ORD_3204
PAY_5205,2025-05-11,COD,Pending,ORD_3205
PAY_5206,2026-02-15,Card,Pending,ORD_3206
PAY_5207,2025-10-07,Card,Completed,ORD_3207
PAY_5208,2026-01-20,COD,Completed,ORD_3208
PAY_5209,2026-01-20,Card,Refunded,ORD_3209
PAY_5210,2025-06-21,UPI,Pending,ORD_3210
PAY_5211,2025-08-17,UPI,Completed,ORD_3211
PAY_5212,2025-10-28,UPI,Completed,ORD_3212
PAY_5213,2025-11-08,UPI,Pending,ORD_3213
PAY_5214,2025-04-13,Card,Pending,ORD_3214
PAY_5215,2025-04-20,COD,Refunded,ORD_3215
PAY_5216,2025-09-06,COD,Completed,ORD_3216
PAY_5217,2025-04-20,UPI,Completed,ORD_3217
PAY_5218,2025-07-07,UPI,Completed,ORD_3218
PAY_5219,2025-07-27,UPI,Completed,ORD_3219
PAY_5220,2025-08-03,COD,Completed,ORD_3220
PAY_5221,2025-09-15,UPI,Completed,ORD_3221
PAY_5222,2026-02-05,UPI,Completed,ORD_3222
PAY_5223,2026-03-05,UPI,Completed,ORD_3223
PAY_5224,2025-12-25,COD,Pending,ORD_3224
PAY_5225,2026-03-06,Card,Failed,ORD_3225
PAY_5226,2025-07-08,COD,Pending,ORD_3226
PAY_5227,2025-11-24,UPI,Pending,ORD_3227
PAY_5228,2025-10-16,COD,Completed,ORD_3228
PAY_5229,2025-05-23,Card,Completed,ORD_3229
PAY_5230,2026-02-27,Card,Completed,ORD_3230
PAY_5231,2025-09-12,COD,Completed,ORD_3231
PAY_5232,2025-07-15,UPI,Pending,ORD_3232
PAY_5233,2025-07-25,UPI,Completed,ORD_3233
PAY_5234,2025-09-24,UPI,Completed,ORD_3234
PAY_5235,2025-04-21,UPI,Completed,ORD_3235
PAY_5236,2026-03-26,UPI,Completed,ORD_3236
PAY_5237,2025-08-11,COD,Completed,ORD_3237
PAY_5238,2025-04-26,Card,Completed,ORD_3238
PAY_5239,2025-10-02,COD,Completed,ORD_3239
PAY_5240,2025-04-17,UPI,Completed,ORD_3240
PAY_5241,2025-07-08,UPI,Pending,ORD_3241
PAY_5242,2025-06-08,COD,Completed,ORD_3242
PAY_5243,2025-12-27,UPI,Completed,ORD_3243
PAY_5244,2025-09-02,Card,Completed,ORD_3244
PAY_5245,2025-04-13,COD,Completed,ORD_3245
PAY_5246,2025-12-19,UPI,Completed,ORD_3246
PAY_5247,2025-07-14,UPI,Completed,ORD_3247
PAY_5248,2025-09-01,Card,Refunded,ORD_3248
PAY_5249,2025-11-30,COD,Refunded,ORD_3249
PAY_5250,2025-09-07,COD,Completed,ORD_3250
PAY_5251,2025-09-18,COD,Completed,ORD_3251
PAY_5252,2025-07-31,Card,Completed,ORD_3252
PAY_5253,2025-08-04,Card,Completed,ORD_3253
PAY_5254,2025-05-27,Card,Completed,ORD_3254
PAY_5255,2025-07-19,Card,Completed,ORD_3255
PAY_5256,2025-09-29,COD,Completed,ORD_3256
PAY_5257,2025-06-25,Card,Refunded,ORD_3257
PAY_5258,2026-01-23,Card,Pending,ORD_3258
PAY_5259,2025-04-17,UPI,Refunded,ORD_3259
PAY_5260,2025-08-05,Card,Completed,ORD_3260
PAY_5261,2025-07-04,UPI,Completed,ORD_3261
PAY_5262,2025-07-19,UPI,Completed,ORD_3262
PAY_5263,2025-10-28,UPI,Completed,ORD_3263
PAY_5264,2025-10-09,COD,Completed,ORD_3264
PAY_5265,2025-06-29,COD,Completed,ORD_3265
PAY_5266,2025-09-01,COD,Completed,ORD_3266
PAY_5267,2025-12-01,COD,Refunded,ORD_3267
PAY_5268,2025-12-27,COD,Refunded,ORD_3268
PAY_5269,2025-12-30,UPI,Completed,ORD_3269
PAY_5270,2025-04-03,Card,Completed,ORD_3270
PAY_5271,2026-01-04,COD,Completed,ORD_3271
PAY_5272,2025-08-29,COD,Completed,ORD_3272
PAY_5273,2025-08-02,UPI,Completed,ORD_3273
PAY_5274,2026-01-31,UPI,Failed,ORD_3274
PAY_5275,2025-04-06,UPI,Completed,ORD_3275
PAY_5276,2025-10-12,UPI,Completed,ORD_3276
PAY_5277,2025-06-24,COD,Completed,ORD_3277
PAY_5278,2025-04-18,UPI,Completed,ORD_3278
PAY_5279,2026-02-13,UPI,Completed,ORD_3279
PAY_5280,2025-06-04,Card,Refunded,ORD_3280
PAY_5281,2025-09-28,COD,Completed,ORD_3281
PAY_5282,2025-09-12,Card,Completed,ORD_3282
PAY_5283,2025-08-13,COD,Pending,ORD_3283
PAY_5284,2025-09-10,COD,Completed,ORD_3284
PAY_5285,2025-10-05,Card,Completed,ORD_3285
PAY_5286,2025-10-05,COD,Completed,ORD_3286
PAY_5287,2025-07-30,COD,Failed,ORD_3287
PAY_5288,2026-03-09,UPI,Completed,ORD_3288
PAY_5289,2025-07-30,UPI,Completed,ORD_3289
PAY_5290,2025-07-04,Card,Pending,ORD_3290
PAY_5291,2025-09-06,COD,Failed,ORD_3291
PAY_5292,2025-08-08,COD,Completed,ORD_3292
PAY_5293,2025-06-29,UPI,Refunded,ORD_3293
PAY_5294,2025-08-13,COD,Completed,ORD_3294
PAY_5295,2026-03-08,COD,Completed,ORD_3295
PAY_5296,2025-11-17,UPI,Completed,ORD_3296
PAY_5297,2025-10-18,COD,Completed,ORD_3297
PAY_5298,2026-01-30,COD,Completed,ORD_3298
PAY_5299,2025-04-07,UPI,Pending,ORD_3299
PAY_5300,2025-09-12,COD,Completed,ORD_3300
PAY_5301,2026-02-06,COD,Completed,ORD_3301
PAY_5302,2025-05-11,UPI,Completed,ORD_3302
PAY_5303,2025-10-19,COD,Pending,ORD_3303
PAY_5304,2025-12-02,UPI,Refunded,ORD_3304
PAY_5305,2026-02-14,COD,Completed,ORD_3305
PAY_5306,2025-08-24,COD,Pending,ORD_3306
PAY_5307,2026-01-08,Card,Completed,ORD_3307
PAY_5308,2026-01-17,UPI,Completed,ORD_3308
PAY_5309,2025-04-21,COD,Refunded,ORD_3309
PAY_5310,2025-11-26,UPI,Completed,ORD_3310
PAY_5311,2025-09-04,COD,Pending,ORD_3311
PAY_5312,2025-10-03,UPI,Completed,ORD_3312
PAY_5313,2025-07-05,Card,Completed,ORD_3313
PAY_5314,2025-12-16,UPI,Pending,ORD_3314
PAY_5315,2026-01-05,COD,Failed,ORD_3315
PAY_5316,2025-06-27,Card,Completed,ORD_3316
PAY_5317,2026-02-13,COD,Completed,ORD_3317
PAY_5318,2026-01-15,Card,Refunded,ORD_3318
PAY_5319,2025-12-13,UPI,Completed,ORD_3319
PAY_5320,2025-12-23,UPI,Pending,ORD_3320
PAY_5321,2025-04-30,UPI,Failed,ORD_3321
PAY_5322,2026-02-12,Card,Completed,ORD_3322
PAY_5323,2026-01-09,UPI,Completed,ORD_3323
PAY_5324,2025-11-26,UPI,Completed,ORD_3324
PAY_5325,2025-08-01,Card,Completed,ORD_3325
PAY_5326,2026-01-24,COD,Refunded,ORD_3326
PAY_5327,2025-05-10,UPI,Pending,ORD_3327
PAY_5328,2025-10-17,Card,Completed,ORD_3328
PAY_5329,2026-02-19,Card,Completed,ORD_3329
PAY_5330,2026-02-08,UPI,Completed,ORD_3330
PAY_5331,2025-06-03,UPI,Completed,ORD_3331
PAY_5332,2025-11-06,UPI,Completed,ORD_3332
PAY_5333,2025-11-14,COD,Completed,ORD_3333
PAY_5334,2026-03-04,UPI,Completed,ORD_3334
PAY_5335,2025-04-03,UPI,Pending,ORD_3335
PAY_5336,2025-12-17,UPI,Completed,ORD_3336
PAY_5337,2025-09-30,COD,Refunded,ORD_3337
PAY_5338,2025-09-13,Card,Refunded,ORD_3338
PAY_5339,2025-07-29,Card,Completed,ORD_3339
PAY_5340,2025-12-26,Card,Completed,ORD_3340
PAY_5341,2026-01-19,UPI,Completed,ORD_3341
PAY_5342,2026-02-10,UPI,Completed,ORD_3342
PAY_5343,2025-04-29,UPI,Refunded,ORD_3343
PAY_5344,2025-03-29,COD,Completed,ORD_3344
PAY_5345,2025-09-22,UPI,Completed,ORD_3345
PAY_5346,2026-03-18,UPI,Completed,ORD_3346
PAY_5347,2025-07-31,Card,Pending,ORD_3347
PAY_5348,2025-11-17,UPI,Completed,ORD_3348
PAY_5349,2025-11-23,UPI,Completed,ORD_3349
PAY_5350,2026-02-03,Card,Completed,ORD_3350
PAY_5351,2026-01-23,UPI,Pending,ORD_3351
PAY_5352,2025-11-26,UPI,Completed,ORD_3352
PAY_5353,2025-05-22,UPI,Completed,ORD_3353
PAY_5354,2025-10-14,COD,Completed,ORD_3354
PAY_5355,2025-09-21,COD,Completed,ORD_3355
PAY_5356,2025-08-10,UPI,Completed,ORD_3356
PAY_5357,2025-04-02,COD,Completed,ORD_3357
PAY_5358,2025-09-02,Card,Completed,ORD_3358
PAY_5359,2025-10-03,COD,Completed,ORD_3359
PAY_5360,2025-12-10,Card,Completed,ORD_3360
PAY_5361,2025-09-02,Card,Completed,ORD_3361
PAY_5362,2025-05-26,UPI,Completed,ORD_3362
PAY_5363,2025-09-18,Card,Completed,ORD_3363
PAY_5364,2026-02-11,COD,Pending,ORD_3364
PAY_5365,2025-07-12,UPI,Completed,ORD_3365
PAY_5366,2025-07-02,UPI,Completed,ORD_3366
PAY_5367,2026-01-20,COD,Completed,ORD_3367
PAY_5368,2026-03-13,Card,Completed,ORD_3368
PAY_5369,2025-07-22,COD,Completed,ORD_3369
PAY_5370,2025-06-15,UPI,Completed,ORD_3370
PAY_5371,2025-12-18,Card,Pending,ORD_3371
PAY_5372,2025-11-23,Card,Failed,ORD_3372
PAY_5373,2025-10-01,COD,Failed,ORD_3373
PAY_5374,2025-04-17,Card,Pending,ORD_3374
PAY_5375,2026-03-13,COD,Pending,ORD_3375
PAY_5376,2025-09-21,UPI,Refunded,ORD_3376
PAY_5377,2026-02-19,COD,Completed,ORD_3377
PAY_5378,2025-07-25,Card,Completed,ORD_3378
PAY_5379,2025-12-02,UPI,Completed,ORD_3379
PAY_5380,2026-01-09,Card,Completed,ORD_3380
PAY_5381,2025-05-10,COD,Completed,ORD_3381
PAY_5382,2025-06-19,COD,Pending,ORD_3382
PAY_5383,2025-12-11,COD,Completed,ORD_3383
PAY_5384,2026-01-12,Card,Completed,ORD_3384
PAY_5385,2026-01-21,COD,Completed,ORD_3385
PAY_5386,2025-07-04,COD,Completed,ORD_3386
PAY_5387,2025-09-24,Card,Completed,ORD_3387
PAY_5388,2025-12-27,Card,Completed,ORD_3388
PAY_5389,2025-10-31,COD,Completed,ORD_3389
PAY_5390,2025-04-27,COD,Completed,ORD_3390
PAY_5391,2025-04-15,UPI,Completed,ORD_3391
PAY_5392,2025-10-06,COD,Completed,ORD_3392
PAY_5393,2025-07-16,Card,Completed,ORD_3393
PAY_5394,2025-06-18,COD,Completed,ORD_3394
PAY_5395,2025-09-03,UPI,Completed,ORD_3395
PAY_5396,2026-02-10,UPI,Completed,ORD_3396
PAY_5397,2025-04-24,COD,Completed,ORD_3397
PAY_5398,2026-03-01,UPI,Completed,ORD_3398
PAY_5399,2025-11-25,Card,Completed,ORD_3399
PAY_5400,2025-12-10,UPI,Completed,ORD_3400
PAY_5401,2025-05-23,UPI,Pending,ORD_3401
PAY_5402,2026-02-11,UPI,Completed,ORD_3402
PAY_5403,2025-11-18,UPI,Completed,ORD_3403
PAY_5404,2026-01-01,Card,Completed,ORD_3404
PAY_5405,2025-11-25,UPI,Completed,ORD_3405
PAY_5406,2026-03-17,UPI,Completed,ORD_3406
PAY_5407,2025-08-24,UPI,Pending,ORD_3407
PAY_5408,2026-03-04,COD,Pending,ORD_3408
PAY_5409,2025-11-04,UPI,Completed,ORD_3409
PAY_5410,2025-12-20,UPI,Pending,ORD_3410
PAY_5411,2025-12-01,Card,Completed,ORD_3411
PAY_5412,2025-06-22,UPI,Completed,ORD_3412
PAY_5413,2025-07-09,COD,Completed,ORD_3413
PAY_5414,2025-09-21,COD,Completed,ORD_3414
PAY_5415,2025-07-07,Card,Completed,ORD_3415
PAY_5416,2025-07-02,COD,Completed,ORD_3416
PAY_5417,2025-09-05,Card,Completed,ORD_3417
PAY_5418,2025-05-23,UPI,Completed,ORD_3418
PAY_5419,2025-12-02,Card,Completed,ORD_3419
PAY_5420,2025-11-28,COD,Completed,ORD_3420
PAY_5421,2025-07-04,COD,Completed,ORD_3421
PAY_5422,2025-07-03,COD,Completed,ORD_3422
PAY_5423,2025-09-26,UPI,Completed,ORD_3423
PAY_5424,2025-10-01,Card,Pending,ORD_3424
PAY_5425,2025-05-12,Card,Completed,ORD_3425
PAY_5426,2026-02-08,Card,Pending,ORD_3426
PAY_5427,2026-03-23,Card,Completed,ORD_3427
PAY_5428,2025-09-29,Card,Completed,ORD_3428
PAY_5429,2025-04-19,Card,Pending,ORD_3429
PAY_5430,2025-10-09,COD,Completed,ORD_3430
PAY_5431,2026-01-17,Card,Completed,ORD_3431
PAY_5432,2025-06-24,UPI,Completed,ORD_3432
PAY_5433,2025-08-13,COD,Completed,ORD_3433
PAY_5434,2025-04-05,Card,Completed,ORD_3434
PAY_5435,2026-01-22,UPI,Completed,ORD_3435
PAY_5436,2026-02-08,COD,Pending,ORD_3436
PAY_5437,2025-09-01,UPI,Completed,ORD_3437
PAY_5438,2025-06-12,COD,Completed,ORD_3438
PAY_5439,2025-10-01,UPI,Pending,ORD_3439
PAY_5440,2025-10-07,COD,Completed,ORD_3440
PAY_5441,2025-10-31,UPI,Completed,ORD_3441
PAY_5442,2025-11-05,UPI,Completed,ORD_3442
PAY_5443,2025-04-24,UPI,Completed,ORD_3443
PAY_5444,2025-10-28,COD,Completed,ORD_3444
PAY_5445,2025-08-30,COD,Completed,ORD_3445
PAY_5446,2025-05-11,UPI,Completed,ORD_3446
PAY_5447,2025-05-17,COD,Pending,ORD_3447
PAY_5448,2025-11-29,COD,Refunded,ORD_3448
PAY_5449,2025-09-14,Card,Completed,ORD_3449
PAY_5450,2025-08-17,COD,Refunded,ORD_3450
PAY_5451,2026-03-15,UPI,Completed,ORD_3451
PAY_5452,2026-02-11,COD,Completed,ORD_3452
PAY_5453,2025-04-02,Card,Completed,ORD_3453
PAY_5454,2025-11-30,Card,Completed,ORD_3454
PAY_5455,2025-09-12,COD,Pending,ORD_3455
PAY_5456,2026-03-29,Card,Completed,ORD_3456
PAY_5457,2025-04-09,COD,Completed,ORD_3457
PAY_5458,2025-09-21,Card,Completed,ORD_3458
PAY_5459,2025-07-03,Card,Completed,ORD_3459
PAY_5460,2025-11-07,UPI,Completed,ORD_3460
PAY_5461,2025-12-27,UPI,Failed,ORD_3461
PAY_5462,2026-02-22,COD,Pending,ORD_3462
PAY_5463,2026-01-27,COD,Completed,ORD_3463
PAY_5464,2026-03-15,UPI,Completed,ORD_3464
PAY_5465,2025-04-18,COD,Completed,ORD_3465
PAY_5466,2025-09-25,COD,Pending,ORD_3466
PAY_5467,2025-09-01,UPI,Completed,ORD_3467
PAY_5468,2025-07-13,UPI,Completed,ORD_3468
PAY_5469,2025-04-10,UPI,Failed,ORD_3469
PAY_5470,2025-10-10,Card,Completed,ORD_3470
PAY_5471,2026-03-29,Card,Completed,ORD_3471
PAY_5472,2025-04-01,COD,Completed,ORD_3472
PAY_5473,2026-03-24,COD,Completed,ORD_3473
PAY_5474,2025-03-30,UPI,Completed,ORD_3474
PAY_5475,2025-07-10,Card,Completed,ORD_3475
PAY_5476,2025-09-09,UPI,Completed,ORD_3476
PAY_5477,2026-03-22,COD,Completed,ORD_3477
PAY_5478,2025-05-26,UPI,Pending,ORD_3478
PAY_5479,2025-05-18,UPI,Completed,ORD_3479
PAY_5480,2025-08-14,Card,Refunded,ORD_3480
PAY_5481,2026-02-23,Card,Completed,ORD_3481
PAY_5482,2025-05-18,COD,Completed,ORD_3482
PAY_5483,2025-12-23,Card,Completed,ORD_3483
PAY_5484,2025-09-21,COD,Completed,ORD_3484
PAY_5485,2026-01-07,COD,Completed,ORD_3485
PAY_5486,2025-07-07,UPI,Completed,ORD_3486
PAY_5487,2026-01-11,UPI,Completed,ORD_3487
PAY_5488,2025-09-16,COD,Completed,ORD_3488
PAY_5489,2025-12-17,Card,Pending,ORD_3489
PAY_5490,2025-10-15,UPI,Completed,ORD_3490
