shipping_id,order_id,delivery_status,shipping_date,return_date
SHIP_9218,ORD_3218,Delivered,2025-12-30,
SHIP_9219,ORD_3219,Delivered,2025-08-24,
SHIP_9220,ORD_3220,Delivered,2025-09-21,
SHIP_9221,ORD_3221,Delivered,2025-11-08,
SHIP_9222,ORD_3222,Returned,2025-12-30,2026-01-02
SHIP_9223,ORD_3223,Delivered,2025-08-25,
SHIP_9224,ORD_3224,In Transit,2025-11-05,
SHIP_9225,ORD_3225,Cancelled,,
SHIP_9226,ORD_3226,In Transit,2025-09-29,
SHIP_9227,ORD_3227,In Transit,2025-07-04,
SHIP_9228,ORD_3228,Returned,2025-11-04,2025-11-11
SHIP_9229,ORD_3229,Delivered,2025-08-30,
SHIP_9230,ORD_3230,Delivered,2026-03-30,
SHIP_9231,ORD_3231,Delivered,2025-05-03,
SHIP_9232,ORD_3232,In Transit,2025-05-19,
SHIP_9233,ORD_3233,Delivered,2025-10-30,
SHIP_9234,ORD_3234,Delivered,2026-03-22,
SHIP_9235,ORD_3235,Delivered,2025-05-26,
SHIP_9236,ORD_3236,Returned,2026-03-15,2026-03-21
SHIP_9237,ORD_3237,Delivered,2025-08-11,
SHIP_9238,ORD_3238,Delivered,2025-04-19,
SHIP_9239,ORD_3239,Delivered,2025-12-21,
SHIP_9240,ORD_3240,Delivered,2025-08-07,
SHIP_9241,ORD_3241,In Transit,2025-07-15,
SHIP_9242,ORD_3242,Delivered,2025-05-22,
SHIP_9243,ORD_3243,Delivered,2026-01-03,
SHIP_9244,ORD_3244,Returned,2025-09-03,2025-09-06
SHIP_9245,ORD_3245,Delivered,2025-12-29,
SHIP_9246,ORD_3246,Delivered,2025-07-07,
SHIP_9247,ORD_3247,Delivered,2025-11-22,
SHIP_9248,ORD_3248,Cancelled,,
SHIP_9249,ORD_3249,Cancelled,,
SHIP_9250,ORD_3250,Returned,2025-12-24,2025-12-29
SHIP_9251,ORD_3251,Delivered,2025-05-16,
SHIP_9252,ORD_3252,Returned,2025-10-30,2025-11-03
SHIP_9253,ORD_3253,Delivered,2025-07-29,
SHIP_9254,ORD_3254,Returned,2026-03-02,2026-03-06
SHIP_9255,ORD_3255,Delivered,2025-06-06,
SHIP_9256,ORD_3256,Delivered,2025-08-23,
SHIP_9257,ORD_3257,Cancelled,,
SHIP_9258,ORD_3258,In Transit,2025-08-16,
SHIP_9259,ORD_3259,Cancelled,,
SHIP_9260,ORD_3260,Returned,2025-06-26,2025-06-29
SHIP_9261,ORD_3261,Delivered,2026-03-22,
SHIP_9262,ORD_3262,Delivered,2026-01-12,
SHIP_9263,ORD_3263,Delivered,2025-07-02,
SHIP_9264,ORD_3264,Delivered,2025-04-19,
SHIP_9265,ORD_3265,Delivered,2025-10-08,
SHIP_9266,ORD_3266,Delivered,2025-09-29,
SHIP_9267,ORD_3267,Cancelled,,
SHIP_9268,ORD_3268,Cancelled,,
SHIP_9269,ORD_3269,Delivered,2025-05-29,
SHIP_9270,ORD_3270,Delivered,2025-09-04,
SHIP_9271,ORD_3271,Delivered,2025-05-15,
SHIP_9272,ORD_3272,Delivered,2025-11-29,
SHIP_9273,ORD_3273,Returned,2026-02-03,2026-02-10
SHIP_9274,ORD_3274,Cancelled,,
SHIP_9275,ORD_3275,Delivered,2025-07-06,
SHIP_9276,ORD_3276,Delivered,2025-12-12,
SHIP_9277,ORD_3277,Returned,2026-01-24,2026-01-29
SHIP_9278,ORD_3278,Delivered,2026-01-25,
SHIP_9279,ORD_3279,Delivered,2025-10-12,
SHIP_9280,ORD_3280,Cancelled,,
SHIP_9281,ORD_3281,Returned,2026-03-09,2026-03-15
SHIP_9282,ORD_3282,Returned,2025-12-31,2026-01-05
SHIP_9283,ORD_3283,In Transit,2026-02-26,
SHIP_9284,ORD_3284,Delivered,2025-10-08,
SHIP_9285,ORD_3285,Delivered,2026-01-03,
SHIP_9286,ORD_3286,Delivered,2025-07-15,
SHIP_9287,ORD_3287,Cancelled,,
SHIP_9288,ORD_3288,Returned,2025-12-02,2025-12-06
SHIP_9289,ORD_3289,Delivered,2025-11-16,
SHIP_9290,ORD_3290,In Transit,2025-10-29,
SHIP_9291,ORD_3291,Cancelled,,
SHIP_9292,ORD_3292,Delivered,2025-05-03,
SHIP_9293,ORD_3293,Cancelled,,
SHIP_9294,ORD_3294,Returned,2025-07-20,2025-07-23
SHIP_9295,ORD_3295,Delivered,2025-09-24,
SHIP_9296,ORD_3296,Delivered,2025-12-11,
SHIP_9297,ORD_3297,Delivered,2026-01-16,
SHIP_9298,ORD_3298,Returned,2025-10-31,2025-11-07
SHIP_9299,ORD_3299,In Transit,2026-03-13,
SHIP_9300,ORD_3300,Delivered,2026-03-28,
SHIP_9301,ORD_3301,Delivered,2025-07-27,
SHIP_9302,ORD_3302,Returned,2025-09-09,2025-09-15
SHIP_9303,ORD_3303,In Transit,2025-09-28,
SHIP_9304,ORD_3304,Cancelled,,
SHIP_9305,ORD_3305,Returned,2025-05-04,2025-05-08
SHIP_9306,ORD_3306,In Transit,2026-03-06,
SHIP_9307,ORD_3307,Returned,2025-04-09,2025-04-16
SHIP_9308,ORD_3308,Returned,2026-03-25,2026-03-30
SHIP_9309,ORD_3309,Cancelled,,
SHIP_9310,ORD_3310,Delivered,2025-10-28,
SHIP_9311,ORD_3311,In Transit,2025-06-22,
SHIP_9312,ORD_3312,Delivered,2025-12-14,
SHIP_9313,ORD_3313,Delivered,2025-09-05,
SHIP_9314,ORD_3314,In Transit,2025-12-23,
SHIP_9315,ORD_3315,Cancelled,,
SHIP_9316,ORD_3316,Returned,2025-06-22,2025-06-26
SHIP_9317,ORD_3317,Returned,2025-07-03,2025-07-10
SHIP_9318,ORD_3318,Cancelled,,
SHIP_9319,ORD_3319,Delivered,2025-04-21,
SHIP_9320,ORD_3320,In Transit,2025-08-05,
SHIP_9321,ORD_3321,Cancelled,,
SHIP_9322,ORD_3322,Delivered,2026-02-23,
SHIP_9323,ORD_3323,Delivered,2026-01-20,
SHIP_9324,ORD_3324,Delivered,2026-03-30,
SHIP_9325,ORD_3325,Returned,2025-05-06,2025-05-12
SHIP_9326,ORD_3326,Cancelled,,
SHIP_9327,ORD_3327,In Transit,2026-01-11,
SHIP_9328,ORD_3328,Delivered,2026-02-08,
SHIP_9329,ORD_3329,Delivered,2026-02-16,
SHIP_9330,ORD_3330,Delivered,2026-03-28,
SHIP_9331,ORD_3331,Returned,2026-01-31,2026-02-06
SHIP_9332,ORD_3332,Delivered,2025-08-20,
SHIP_9333,ORD_3333,Delivered,2025-10-02,
SHIP_9334,ORD_3334,Returned,2025-08-18,2025-08-23
SHIP_9335,ORD_3335,In Transit,2025-10-21,
SHIP_9336,ORD_3336,Returned,2025-08-13,2025-08-17
SHIP_9337,ORD_3337,Cancelled,,
SHIP_9338,ORD_3338,Cancelled,,
SHIP_9339,ORD_3339,Delivered,2026-02-20,
SHIP_9340,ORD_3340,Delivered,2025-10-31,
SHIP_9341,ORD_3341,Delivered,2025-12-01,
SHIP_9342,ORD_3342,Delivered,2025-05-25,
SHIP_9343,ORD_3343,Cancelled,,
SHIP_9344,ORD_3344,Returned,2025-06-24,2025-06-28
SHIP_9345,ORD_3345,Delivered,2025-07-05,
SHIP_9346,ORD_3346,Delivered,2025-07-29,
SHIP_9347,ORD_3347,In Transit,2025-09-15,
SHIP_9348,ORD_3348,Returned,2026-01-26,2026-02-01
SHIP_9349,ORD_3349,Delivered,2025-11-24,
SHIP_9350,ORD_3350,Delivered,2025-06-09,
SHIP_9351,ORD_3351,In Transit,2026-01-21,
SHIP_9352,ORD_3352,Delivered,2025-11-12,
SHIP_9353,ORD_3353,Delivered,2025-12-10,
SHIP_9354,ORD_3354,Delivered,2025-10-19,
SHIP_9355,ORD_3355,Returned,2025-10-02,2025-10-05
SHIP_9356,ORD_3356,Delivered,2025-07-16,
SHIP_9357,ORD_3357,Delivered,2025-05-21,
SHIP_9358,ORD_3358,Delivered,2025-05-27,
SHIP_9359,ORD_3359,Delivered,2026-01-14,
SHIP_9360,ORD_3360,Delivered,2025-10-05,
SHIP_9361,ORD_3361,Returned,2025-08-21,2025-08-24
SHIP_9362,ORD_3362,Delivered,2025-10-16,
SHIP_9363,ORD_3363,Delivered,2025-10-29,
SHIP_9364,ORD_3364,In Transit,2025-10-29,
SHIP_9365,ORD_3365,Delivered,2025-08-21,
SHIP_9366,ORD_3366,Delivered,2025-11-04,
SHIP_9367,ORD_3367,Returned,2025-12-12,2025-12-17
SHIP_9368,ORD_3368,Delivered,2025-06-29,
SHIP_9369,ORD_3369,Delivered,2025-10-17,
SHIP_9370,ORD_3370,Delivered,2025-09-04,
SHIP_9371,ORD_3371,In Transit,2025-10-27,
SHIP_9372,ORD_3372,Cancelled,,
SHIP_9373,ORD_3373,Cancelled,,
SHIP_9374,ORD_3374,In Transit,2026-02-07,
SHIP_9375,ORD_3375,In Transit,2025-12-10,
SHIP_9376,ORD_3376,Cancelled,,
SHIP_9377,ORD_3377,Delivered,2025-09-13,
SHIP_9378,ORD_3378,Delivered,2025-10-24,
SHIP_9379,ORD_3379,Delivered,2025-11-14,
SHIP_9380,ORD_3380,Returned,2025-07-06,2025-07-11
SHIP_9381,ORD_3381,Delivered,2025-07-21,
SHIP_9382,ORD_3382,In Transit,2026-03-10,
SHIP_9383,ORD_3383,Returned,2025-12-30,2026-01-02
SHIP_9384,ORD_3384,Delivered,2025-10-17,
SHIP_9385,ORD_3385,Returned,2025-05-01,2025-05-07
SHIP_9386,ORD_3386,Returned,2025-12-01,2025-12-07
SHIP_9387,ORD_3387,Delivered,2025-09-13,
SHIP_9388,ORD_3388,Delivered,2025-07-15,
SHIP_9389,ORD_3389,Returned,2025-07-12,2025-07-16
SHIP_9390,ORD_3390,Delivered,2025-06-25,
SHIP_9391,ORD_3391,Delivered,2025-05-19,
SHIP_9392,ORD_3392,Delivered,2026-01-28,
SHIP_9393,ORD_3393,Delivered,2025-07-02,
SHIP_9394,ORD_3394,Delivered,2025-06-27,
SHIP_9395,ORD_3395,Delivered,2025-05-09,
SHIP_9396,ORD_3396,Delivered,2026-01-04,
SHIP_9397,ORD_3397,Returned,2025-04-17,2025-04-20
SHIP_9398,ORD_3398,Delivered,2025-05-25,
SHIP_9399,ORD_3399,Delivered,2025-08-29,
SHIP_9400,ORD_3400,Delivered,2025-10-11,
SHIP_9401,ORD_3401,In Transit,2025-12-31,
SHIP_9402,ORD_3402,Delivered,2025-07-01,
SHIP_9403,ORD_3403,Delivered,2025-08-31,
SHIP_9404,ORD_3404,Delivered,2025-11-24,
SHIP_9405,ORD_3405,Delivered,2025-08-19,
SHIP_9406,ORD_3406,Returned,2025-10-23,2025-10-27
SHIP_9407,ORD_3407,In Transit,2026-03-02,
SHIP_9408,ORD_3408,In Transit,2025-10-15,
SHIP_9409,ORD_3409,Returned,2025-06-28,2025-07-05
SHIP_9410,ORD_3410,In Transit,2025-11-20,
SHIP_9411,ORD_3411,Delivered,2025-07-01,
SHIP_9412,ORD_3412,Delivered,2026-02-26,
SHIP_9413,ORD_3413,Delivered,2026-03-31,
SHIP_9414,ORD_3414,Delivered,2025-08-29,
SHIP_9415,ORD_3415,Returned,2026-01-23,2026-01-30
SHIP_9416,ORD_3416,Delivered,2025-07-03,
SHIP_9417,ORD_3417,Delivered,2025-09-06,
SHIP_9418,ORD_3418,Delivered,2026-02-25,
SHIP_9419,ORD_3419,Delivered,2025-12-18,
SHIP_9420,ORD_3420,Delivered,2026-03-11,
SHIP_9421,ORD_3421,Returned,2025-12-11,2025-12-16
SHIP_9422,ORD_3422,Delivered,2026-03-27,
SHIP_9423,ORD_3423,Delivered,2025-10-12,
SHIP_9424,ORD_3424,In Transit,2026-01-08,
SHIP_9425,ORD_3425,Delivered,2025-05-26,
SHIP_9426,ORD_3426,In Transit,2026-03-03,
SHIP_9427,ORD_3427,Delivered,2025-11-03,
SHIP_9428,ORD_3428,Delivered,2026-02-01,
SHIP_9429,ORD_3429,In Transit,2025-10-22,
SHIP_9430,ORD_3430,Returned,2025-09-02,2025-09-08
SHIP_9431,ORD_3431,Delivered,2026-02-18,
SHIP_9432,ORD_3432,Delivered,2025-08-27,
SHIP_9433,ORD_3433,Returned,2026-03-07,2026-03-10
SHIP_9434,ORD_3434,Returned,2026-03-31,2026-04-05
SHIP_9435,ORD_3435,Delivered,2025-11-04,
SHIP_9436,ORD_3436,In Transit,2026-02-26,
SHIP_9437,ORD_3437,Returned,2026-01-08,2026-01-14
SHIP_9438,ORD_3438,Delivered,2025-09-28,
SHIP_9439,ORD_3439,In Transit,2025-10-30,
SHIP_9440,ORD_3440,Delivered,2025-11-18,
SHIP_9441,ORD_3441,Returned,2025-04-05,2025-04-11
SHIP_9442,ORD_3442,Delivered,2025-11-22,
SHIP_9443,ORD_3443,Delivered,2026-02-26,
SHIP_9444,ORD_3444,Delivered,2025-10-08,
SHIP_9445,ORD_3445,Delivered,2025-12-15,
SHIP_9446,ORD_3446,Delivered,2026-02-17,
SHIP_9447,ORD_3447,In Transit,2025-04-07,
SHIP_9448,ORD_3448,Cancelled,,
SHIP_9449,ORD_3449,Returned,2025-09-20,2025-09-25
SHIP_9450,ORD_3450,Cancelled,,
SHIP_9451,ORD_3451,Delivered,2026-01-14,
SHIP_9452,ORD_3452,Delivered,2025-12-14,
SHIP_9453,ORD_3453,Delivered,2026-01-25,
SHIP_9454,ORD_3454,Delivered,2025-12-13,
SHIP_9455,ORD_3455,In Transit,2025-11-26,
SHIP_9456,ORD_3456,Delivered,2026-01-31,
SHIP_9457,ORD_3457,Delivered,2025-06-17,
SHIP_9458,ORD_3458,Returned,2025-11-01,2025-11-06
SHIP_9459,ORD_3459,Returned,2025-06-23,2025-06-29
SHIP_9460,ORD_3460,Delivered,2025-05-17,
SHIP_9461,ORD_3461,Cancelled,,
SHIP_9462,ORD_3462,In Transit,2025-05-30,
SHIP_9463,ORD_3463,Returned,2025-05-14,2025-05-18
SHIP_9464,ORD_3464,Delivered,2025-06-07,
SHIP_9465,ORD_3465,Returned,2025-05-22,2025-05-29
SHIP_9466,ORD_3466,In Transit,2025-08-22,
SHIP_9467,ORD_3467,Delivered,2025-09-29,
SHIP_9468,ORD_3468,Delivered,2025-05-04,
SHIP_9469,ORD_3469,Cancelled,,
SHIP_9470,ORD_3470,Delivered,2025-04-21,
SHIP_9471,ORD_3471,Returned,2025-09-06,2025-09-10
SHIP_9472,ORD_3472,Delivered,2025-08-01,
SHIP_9473,ORD_3473,Delivered,2025-08-11,
SHIP_9474,ORD_3474,Delivered,2026-02-06,
SHIP_9475,ORD_3475,Returned,2025-12-01,2025-12-04
SHIP_9476,ORD_3476,Delivered,2025-04-15,
SHIP_9477,ORD_3477,Delivered,2025-09-10,
SHIP_9478,ORD_3478,In Transit,2025-11-08,
SHIP_9479,ORD_3479,Delivered,2025-07-11,
SHIP_9480,ORD_3480,Cancelled,,
SHIP_9481,ORD_3481,Returned,2025-08-15,2025-08-22
SHIP_9482,ORD_3482,Returned,2025-04-21,2025-04-26
SHIP_9483,ORD_3483,Delivered,2025-09-30,
SHIP_9484,ORD_3484,Delivered,2025-07-13,
SHIP_9485,ORD_3485,Delivered,2025-04-06,
SHIP_9486,ORD_3486,Returned,2025-10-28,2025-11-03
SHIP_9487,ORD_3487,Delivered,2025-10-01,
SHIP_9488,ORD_3488,Delivered,2025-05-08,
